name,link,img,shortDescription,version,last_update,count_download,rate,count_viewer,volume,type,category,app_constuctor,price,priceString,homepageUrl,phoneNumber,email,size,pagckage_name
Tactical OPS－FPS Shooting Game,https://cafebazaar.ir/app/com.edkongames.tops,https://s.cafebazaar.ir/images/icons/com.edkongames.tops-b89f76fc-60a6-49fd-bb03-249aa177f040_128x128.png,Modern 3D multiplayer online shooter with tons of weapons and thrilling action!,۰.۳۲,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,5,۱,۵۴۹ مگابایت,بازی‌های انتخاب بازار,اکشن,Edkon Games GmbH,0,۰ تومان,,,,575962723,com.edkongames.tops
Ninja War: Shadow Adventures,https://cafebazaar.ir/app/com.bamboo.arashi.ninjashadow.legend,https://s.cafebazaar.ir/images/icons/com.bamboo.arashi.ninjashadow.legend-212709ab-4f3c-4daf-b34c-8a147b1731dd_128x128.png,Ninja War: Shadow Adventures - Action-Packed Ninja RPG Adventure,۱.۱۳.۰,۲۷ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۷۳ مگابایت,بازی‌های انتخاب بازار,اکشن,Bamboo Gaming,0,۰ تومان,,,,181187512,com.bamboo.arashi.ninjashadow.legend
BulletHorizon,https://cafebazaar.ir/app/com.IKBG.BulletHorizon,https://s.cafebazaar.ir/images/icons/com.IKBG.BulletHorizon-953e1ed7-c031-40ae-aad2-deae7748d19d_128x128.png,"Step into the fast-paced world of Bullet Horizon as players navigate through levels, using weapons and tactical skills to overcome a variety of challenges",۱.۰,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۶۷ مگابایت,بازی‌های انتخاب بازار,اکشن,Venture Catalysts Group,0,۰ تومان,,,,70480704,com.IKBG.BulletHorizon
Voidpet Dungeon,https://cafebazaar.ir/app/com.voidpet.dungeon,https://s.cafebazaar.ir/images/icons/com.voidpet.dungeon-44045e51-15f9-449c-945c-588d6a77a8c7_128x128.png,Monster Collection Strategy Game,۴.۱۱.۲,۲۸ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۱۷ مگابایت,بازی‌های انتخاب بازار,اکشن,Voidpet,0,۰ تومان,,,,122505180,com.voidpet.dungeon
کانتر آلفا,https://cafebazaar.ir/app/com.onestar.counteralpha,https://s.cafebazaar.ir/images/icons/com.onestar.counteralpha-46e44d29-b799-4515-9e52-cbed557569c5_128x128.png,تفنگ بازی را در یکی از گروه های خبره تجربه کنید.,۰.۱,۱۶ دی ۱۴۰۳,۱۰۰+,5,۴,۶۱ مگابایت,بازی‌های انتخاب بازار,اکشن,OneStar,0,۰ تومان,http://onestarco.ir,,onestargame.co@gmail.com,64142401,com.onestar.counteralpha
Bring a gun to a sword fight,https://cafebazaar.ir/app/com.skygo.gunvssword,https://s.cafebazaar.ir/images/icons/com.skygo.gunvssword-65486b4f-0543-41e7-890c-d448659e4934_128x128.png,"Join the medieval battle with strength, courage and... some GUNS!This is not a joke, you bring a GUN into the medieval battle! Stop the enemy army with GUNS! Upgrade your GUNS, buy more GUNS, take down more enemies and defend your castle with GUNS!...",۱.۰۹,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۹۲ مگابایت,بازی‌های انتخاب بازار,اکشن,Skygo,0,۰ تومان,,,,95971137,com.skygo.gunvssword
West Cowboy Horse Riding 3D,https://cafebazaar.ir/app/com.ezeegames.west.cowboy.horse.simulator.wild.shooting.openworld,https://s.cafebazaar.ir/images/icons/com.ezeegames.west.cowboy.horse.simulator.wild.shooting.openworld-ff4f869c-ce58-4e03-9d3e-683ff05b4e8b_128x128.png,Explore 3D open world and save city from west liberon gunfighter in cowboy games,۳.۴,۱۶ دی ۱۴۰۳,۵۰۰+,3.5,۲,۸۷ مگابایت,بازی‌های انتخاب بازار,اکشن,EZEE GAMES,0,۰ تومان,,,,91353029,com.ezeegames.west.cowboy.horse.simulator.wild.shooting.openworld
Schoolboy Escape 2: Village,https://cafebazaar.ir/app/com.D_One_Games.SchoolboyEscape2,https://s.cafebazaar.ir/images/icons/com.D_One_Games.SchoolboyEscape2-70596a25-ccd9-4413-9f1d-138222ad0ee6_128x128.png,"It’s so unfair! While your parents are enjoying a sunny vacation by the sea, you’ve been sent to grandma and grandpa’s remote village. And instead of letting you have fun, they’re always piling on chores—weed the garden, paint the fence, ...",۰.۶.۰,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,3,۱,۱۹۵ مگابایت,بازی‌های انتخاب بازار,اکشن,D one Games,0,۰ تومان,,,,204246771,com.D_One_Games.SchoolboyEscape2
بازی جدید شورش خیابانی,https://cafebazaar.ir/app/karen.shoresh.city55,https://s.cafebazaar.ir/images/icons/karen.shoresh.city55-01d6de6a-9f17-4550-bd4b-989c44e0cee9_128x128.png,بازی شورش در شهر ، بازی مبارزه ای ، بازی بوکس ، بازی تفنگی ، بازی جدید ، رینگ بوکس ، بوکس خیابانی,game,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۱۴ مگابایت,بازی‌های انتخاب بازار,اکشن,ideal Games,0,۰ تومان,,,karensoft2022@gmail.com,119053348,karen.shoresh.city55
بازی تیراندازی | عملیات ویژه,https://cafebazaar.ir/app/saeghe.game.strike49,https://s.cafebazaar.ir/images/icons/saeghe.game.strike49-ada01dad-92d8-420e-b2ec-08f293b65203_128x128.png,بازی جدید تفنگی و هیجان‌انگیز مخصوص علاقه‌مندان به بازی‌های اکشن و پسرونه!,۱.۰.۸,۱۵ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۸۸ مگابایت,بازی‌های انتخاب بازار,اکشن,گروه برنامه نویسی صاعقه,0,۰ تومان,,,saeghegroup0511@gmail.com,91815201,saeghe.game.strike49
بازی جدید | تک تیرانداز حرفه ای,https://cafebazaar.ir/app/saeghe.game.commando52,https://s.cafebazaar.ir/images/icons/saeghe.game.commando52-1eb66bb3-a8f0-4262-86b4-baf8fbc7cb77_128x128.png,با بازی جدید تفنگی و هیجان‌انگیز نابودگر وارد دنیای عملیات ویژه شوید!,game,۱۵ دی ۱۴۰۳,۱۰۰+,0,۰,۱۱۹ مگابایت,بازی‌های انتخاب بازار,اکشن,گروه برنامه نویسی صاعقه,0,۰ تومان,,,saeghegroup0511@gmail.com,124891250,saeghe.game.commando52
تفنگ بازی I بازی جنگی,https://cafebazaar.ir/app/com.zaragame.fpsrr.gun.shooting.sniper3d.zombie.hunting.games,https://s.cafebazaar.ir/images/icons/com.zaragame.fpsrr.gun.shooting.sniper3d.zombie.hunting.games-f3d72183-86c2-423d-a10a-063bbd47f1c3_128x128.png,تفنگ بازی I کانتر I بازی اکشن I بازی جنگی I بازی پسرانه I بازی تفنگی I بازی دخترانه I بازی پلیسی,۱.۲,۱۳ دی ۱۴۰۳,۵۰۰+,5,۲,۴۲ مگابایت,بازی‌های انتخاب بازار,اکشن,Zaragame,0,۰ تومان,,,a123y655@gmail.com,44422754,com.zaragame.fpsrr.gun.shooting.sniper3d.zombie.hunting.games
Hunting Park,https://cafebazaar.ir/app/com.ksowkl.iskql,https://s.cafebazaar.ir/images/icons/com.ksowkl.iskql-14537749-01ce-4aba-be0c-ef10a90d4b32_128x128.png,"This is a Q-version cartoon style adventure game, where players will take on the role of an adventurer and explore a mysterious adventure world with cute pets.In the game, players can cultivate their team by collecting various spirit pet cards, each ...",۱.۰.۷,۱۲ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۳۷۳ مگابایت,بازی‌های انتخاب بازار,اکشن,Lumijnary Tech System,0,۰ تومان,,,,391272061,com.ksowkl.iskql
snake VS block: endless runner,https://cafebazaar.ir/app/com.dido.ballsvsblocks.snake.cube.run,https://s.cafebazaar.ir/images/icons/com.dido.ballsvsblocks.snake.cube.run-a03c7a15-a6d2-4dff-ba90-27188c223a9b_128x128.png,"Swipe your finger to guide the snake through an exciting adventure across five stunning worlds! Overcome challenges in the garden, stadium, the enchanting world of China, the desert, and the dazzling ballroom. Control your snake, break through ...",۱.۳,۱۲ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۵۱ مگابایت,بازی‌های انتخاب بازار,اکشن,Kemet Games,0,۰ تومان,,,,53135393,com.dido.ballsvsblocks.snake.cube.run
Heading Man,https://cafebazaar.ir/app/com.minigame.headingman,https://s.cafebazaar.ir/images/icons/com.minigame.headingman-d1c4bf71-ec16-4e54-9c40-865eacef7b99_128x128.png,"Super hero Heading Man is a running game that breaks the wall with excitement and moves forward and defeats the bad guys.Attach items of Heading Man to make more powerful Heading Man!A Heading Man who awakens your heroic nature!+ Item partsHead, ...",۱.۰,۱۲ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۲۶ مگابایت,بازی‌های انتخاب بازار,اکشن,GameFactory,0,۰ تومان,,,,27392095,com.minigame.headingman
Jump City Saga,https://cafebazaar.ir/app/com.KAZEGAMES.CITYJUMP,https://s.cafebazaar.ir/images/icons/com.KAZEGAMES.CITYJUMP-9e2b19b6-5780-44cf-9a84-d61550b675df_128x128.png,"Jump City SagaA laddered city floating in the sky, in this city, people could only move by jumping!Rules:1. Tap to jump2. Hold to jump higher and farther3. Don’t hit the floor!4. Don’t hit the wall! You Jump, I Jump, Everybody Jumps!Jump out ...",۳.۷,۱۲ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۶۴ مگابایت,بازی‌های انتخاب بازار,اکشن,KAZEGAMES,0,۰ تومان,,,,67615683,com.KAZEGAMES.CITYJUMP
Stranded Isle,https://cafebazaar.ir/app/com.OneManEmpire.SurvivalOdyssey,https://s.cafebazaar.ir/images/icons/com.OneManEmpire.SurvivalOdyssey-45d0ff70-48f4-43a9-a938-3a6e50e21870_128x128.png,"Stranded Isle - explore, build, gather, and conquer!",۱.۳.۰.۳,۲۲ دی ۱۴۰۳,۱۰۰+,2,۱,۴۳۷ مگابایت,بازی‌های انتخاب بازار,اکشن,G2C Games,0,۰ تومان,,,,457774533,com.OneManEmpire.SurvivalOdyssey
Dinosaur Life family Simulator,https://cafebazaar.ir/app/com.dinosaur.hunting.real.dino.hunter.animal.shooting.game,https://s.cafebazaar.ir/images/icons/com.dinosaur.hunting.real.dino.hunter.animal.shooting.game-1f38d267-2e58-444d-bf70-78f27e402db7_128x128.png,"Dinosaur Life family SimulatorWelcome in Jurassic world Dinosaur Family Adventure with the ultimate Dinosaur Life family Simulator! Dive into an thrilling world where you can experience the life of a dinosaur, in epic dino role-playing, and explore ...",۱.۴,۱۱ دی ۱۴۰۳,۲۰۰+,0,۰,۷۹ مگابایت,بازی‌های انتخاب بازار,اکشن,PMS Games,0,۰ تومان,,,,82352306,com.dinosaur.hunting.real.dino.hunter.animal.shooting.game
Sniper Shooting Game,https://cafebazaar.ir/app/com.obg.snipergame.snipershooter.gun.shootergame.gungame,https://s.cafebazaar.ir/images/icons/com.obg.snipergame.snipershooter.gun.shootergame.gungame-80e7db89-1333-4b66-bcf8-a8171b7f9675_128x128.png,Sniper Shooting Game is the sniper adventure with thrilling missions. Take the challenge of eliminating targets with shooting skill. Arm yourself with sniper rifles and complete action-packed mission in shooting game.Key Features:- Challenging ...,۱.۸,۱۱ دی ۱۴۰۳,۲۰۰+,2,۱,۱۱۷ مگابایت,بازی‌های انتخاب بازار,اکشن,Bolt Bridge Games,0,۰ تومان,,,,122816752,com.obg.snipergame.snipershooter.gun.shootergame.gungame
Super Contras: Metal Soldier 2,https://cafebazaar.ir/app/com.zoro.supercontrametalsoldier2,https://s.cafebazaar.ir/images/icons/com.zoro.supercontrametalsoldier2-abdd7c1b-31d3-4ed0-b2ee-f479360d96d6_128x128.png,"In the year 2077, when entering the lair of the Red Falcon organization. The agents suddenly face strange alien monsters. After the terrorist organization was completely destroyed, an investigation team was established.1 year later, the main alien ...",۱.۶,۱۱ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۵۸ مگابایت,بازی‌های انتخاب بازار,اکشن,Zoro Game Studio,0,۰ تومان,,,,60386178,com.zoro.supercontrametalsoldier2
US Luxury Bus Driving Game 3D,https://cafebazaar.ir/app/com.mj.luxury.bus.driving.bus.simulator.game.com,https://s.cafebazaar.ir/images/icons/com.mj.luxury.bus.driving.bus.simulator.game.com-613675dc-4667-46c2-939d-8842bdaafbdc_128x128.png,Lets play the bus driving game and gain driving skills in us bus games 3d,۱.۱.۶,۲۲ دی ۱۴۰۳,۱۰،۰۰۰+,3.8,۹,۶۷ مگابایت,بازی‌های انتخاب بازار,اکشن,MJ Production Inc.,0,۰ تومان,,,,69943703,com.mj.luxury.bus.driving.bus.simulator.game.com
Blade Legend,https://cafebazaar.ir/app/com.fishhunt.bladelegend,https://s.cafebazaar.ir/images/icons/com.fishhunt.bladelegend-c525a2b9-67c3-4648-b819-45252ef41196_128x128.png,"You, a young warrior fresh out of the countryside but brimming with aspirations to save the world, have harbored dreams of becoming the supreme martial arts master since childhood. In 'Blade Legend', you will start on a thrilling adventure to become ...",۲.۰.۲,۱۱ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۲۱۰ مگابایت,بازی‌های انتخاب بازار,اکشن,Eslam omar Mohammed,0,۰ تومان,,,,219948092,com.fishhunt.bladelegend
MonTrainers Unite,https://cafebazaar.ir/app/com.my.chathlimi,https://s.cafebazaar.ir/images/icons/com.my.chathlimi-94963010-2d23-456e-8861-93acea8ab041_128x128.png,"Embracing the Spirit of the Hunt!Welcome to the world of MonTrainers Unite, where every card draw is a step into a new adventure! Here, you're not just a player; you're a trainer, a collector, and a strategist.Harness the power of the elements and ...",۳.۱.۰.۲۲,۱۱ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱٫۱۱ گیگابایت,بازی‌های انتخاب بازار,اکشن,"Guangzhou Chuli Network Technology Co., Ltd.",0,۰ تومان,,,,1188780208,com.my.chathlimi
The Lost Pirate: Treasure Hunt,https://cafebazaar.ir/app/com.pirate.dude,https://s.cafebazaar.ir/images/icons/com.pirate.dude-84c92449-45ba-46d2-a4af-d3e911659454_128x128.png,"Plunge into the adventures of the Caribbean Sea and build a tycoon empire on the pirate treasure island. Difficult challenges await you in The Lost Pirate: Idle Tycoon Game, use your strategic thinking, time management skills, trade and team ...",۱.۰.۰,۱۱ دی ۱۴۰۳,۱۰۰+,5,۱,۱۳۱ مگابایت,بازی‌های انتخاب بازار,اکشن,24 HIT Riga SIA,0,۰ تومان,,,,137778938,com.pirate.dude
Parkour Challenge,https://cafebazaar.ir/app/com.Easy.Parkour.Challenge,https://s.cafebazaar.ir/images/icons/com.Easy.Parkour.Challenge-3b4ab87e-23bb-4c09-a1df-a07821aeb016_128x128.png,"Parkour Challenge is an exciting and accessible parkour adventure game designed for players of all skill levels. In the game, you control your character as they navigate through a variety of levels filled with challenging obstacles and jumps. Each ...",۱.۵,۱۱ دی ۱۴۰۳,کمتر از ۱۰۰,5,۱,۸۸ مگابایت,بازی‌های انتخاب بازار,اکشن,Max Game Global,0,۰ تومان,,,,92216016,com.Easy.Parkour.Challenge
بازی هواپیمای جنگی | جنگجویان آسمان,https://cafebazaar.ir/app/saeghe.game.airshooter50,https://s.cafebazaar.ir/images/icons/saeghe.game.airshooter50-9091c53a-5ce1-4e80-831b-6ccc5c8e162e_128x128.png,به دنیای هیجان‌انگیز بازی هواپیمایی جنگی خوش آمدید!,game,۱۶ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۶۶ مگابایت,بازی‌های انتخاب بازار,اکشن,گروه برنامه نویسی صاعقه,0,۰ تومان,,,saeghegroup0511@gmail.com,69418275,saeghe.game.airshooter50
Lode: Mad Planet,https://cafebazaar.ir/app/persona.games.lode.mad.planet,https://s.cafebazaar.ir/images/icons/persona.games.lode.mad.planet-b0e6a608-0788-4559-ba33-1172b8c66d10_128x128.png,Discover a new planet together with other players. What is it? El Dorado with an incredible amount of resources or the embodiment of Hell?You will have to:- collect your squad of heroes to explore all corners of this new world;- join a clan to ...,۲.۱.۲,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۳۵ مگابایت,بازی‌های انتخاب بازار,اکشن,PERSONA.GAMES,0,۰ تومان,,,,36375371,persona.games.lode.mad.planet
Motu Patlu Kung Fu Kings,https://cafebazaar.ir/app/com.tangiappsit.motupatlu.kungfukings,https://s.cafebazaar.ir/images/icons/com.tangiappsit.motupatlu.kungfukings-ab588d85-0fcf-4fd1-acae-a98a5d8d56c4_128x128.png,Motu Patlu start fighting with their enemy. Help Motu for their fighting skill to defeat enemy.,۱.۰.۰,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۵۷ مگابایت,بازی‌های انتخاب بازار,اکشن,TANGIAPPS IT SOLUTION PVT. LTD.,0,۰ تومان,,,,60242549,com.tangiappsit.motupatlu.kungfukings
Princess`s Escape,https://cafebazaar.ir/app/com.OtzzyGames.PrincesssEscape,https://s.cafebazaar.ir/images/icons/com.OtzzyGames.PrincesssEscape-65a117f8-dee6-408c-9a66-8d9e3f363eb8_128x128.png,"The princess was locked up in her own castle! Help her out, avoiding traps and robbers. Labyrinth with many dangers and riddles! The princess was in the castle on the eve of Halloween...",۰.۱,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۲۴ مگابایت,بازی‌های انتخاب بازار,اکشن,Ötzzi Games,0,۰ تومان,,,,25566893,com.OtzzyGames.PrincesssEscape
Round Fit,https://cafebazaar.ir/app/com.rabarba.roundfit,https://s.cafebazaar.ir/images/icons/com.rabarba.roundfit-274ae69a-8e0b-49d1-9b3b-303a5ee15006_128x128.png,Throw stickmen and balls.Easy to control satisfying mechanics.Fun and addictive gameplay.,۱.۰,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۳۰ مگابایت,بازی‌های انتخاب بازار,اکشن,Rabarba Games,0,۰ تومان,,,,31303351,com.rabarba.roundfit
VolksParkFest AR,https://cafebazaar.ir/app/de.dieetagen.halloweenmarl,https://s.cafebazaar.ir/images/icons/de.dieetagen.halloweenmarl-4dbae84b-cf72-453c-80b5-7a149d84f235_128x128.png,"Mit der App ""VolksParkFest AR"" hast du die Möglichkeit, dich in der Stadt Marl auf eine virtuelle Kürbisjagd zu begeben. An ausgewählten Standorten im Volkspark tauchen über die AR-App auf deinem Smartphone animierte Kürbisse auf. Diese gilt es ...",۱.۰.۰,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۷۱ مگابایت,بازی‌های انتخاب بازار,اکشن,Mobile-Etage GmbH,0,۰ تومان,,,,74036592,de.dieetagen.halloweenmarl
Wings Of WW2,https://cafebazaar.ir/app/com.PaulConnor.WingsOfWW2,https://s.cafebazaar.ir/images/icons/com.PaulConnor.WingsOfWW2-25476ff6-b7ce-421b-b68e-55f00bcd2e69_128x128.png,"Take to the skies in this 2D depiction of World War 2 in the 1940's.You will be constantly under attack from Enemy war birds hell bent on taking you down.Take the fight to the enemy and upgrade your Hurricane's speed, fire rate, bomb damage and many ...",۰.۹,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۷۸ مگابایت,بازی‌های انتخاب بازار,اکشن,Paul Connor,0,۰ تومان,,,,81292845,com.PaulConnor.WingsOfWW2
Real Soccer Cup 2023 Offline,https://cafebazaar.ir/app/com.dg.soccergames.footballgames.realfootballgame,https://s.cafebazaar.ir/images/icons/com.dg.soccergames.footballgames.realfootballgame-13ca6798-85c0-4b18-8c46-c70dc524a0b3_128x128.png,"Football 2023 soccer ball game provides a total soccer games experience by immersing you in incredibly realistic graphics and intelligent football games engine. In this free offline football simulator games, Every strike, pass and American football ...",۰.۲۰,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,5,۲,۵۷ مگابایت,بازی‌های انتخاب بازار,اکشن,DulDul Games,0,۰ تومان,,,,59395879,com.dg.soccergames.footballgames.realfootballgame
FPV Operator Drone Simulator,https://cafebazaar.ir/app/com.ToxicFamilyGames.FPVDroneOperator,https://s.cafebazaar.ir/images/icons/com.ToxicFamilyGames.FPVDroneOperator-baa8d217-d96d-4f2e-8b68-1d71c162596e_128x128.png,War combat action battle simulator & real FPV Drone Operator army fps game,۰.۵.۵,۲۱ دی ۱۴۰۳,۵۰۰+,4,۱,۱۸۷ مگابایت,بازی‌های انتخاب بازار,اکشن,Sandbox Playpeople & Drone Simulator,0,۰ تومان,,,,196127312,com.ToxicFamilyGames.FPVDroneOperator
Snake Battle: Fun Snake Game,https://cafebazaar.ir/app/com.an.snake.battle.snakegame,https://s.cafebazaar.ir/images/icons/com.an.snake.battle.snakegame-b3586b79-1307-47b0-b78c-148b3d3b4bf4_128x128.png,"Compete with players from all over the world. The goal is simple: Become the biggest snake and top the leaderboard. Starting as a small snake, you can only eat or be eaten. With captivating gameplay, beautiful graphics, and adorable, colorful ...",۱.۰.۳,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۸۷ مگابایت,بازی‌های انتخاب بازار,اکشن,"TVC Global., Ltd",0,۰ تومان,,,,91581945,com.an.snake.battle.snakegame
Thetan Immortal - PvP Archer,https://cafebazaar.ir/app/com.wolffun.thetanimmortal,https://s.cafebazaar.ir/images/icons/com.wolffun.thetanimmortal-aed0db03-b741-4277-a75a-f85c96d95169_128x128.png,"The most unique game from Wolffun yet! Thetan Immortal offers quick and fierce competition like you’ve never seen before. It’s always you against your foe. In this game, you will become an ancient archer hero who serves either the light or the ...",۰.۸.۳۰,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,5,۱,۲۶۲ مگابایت,بازی‌های انتخاب بازار,اکشن,Wolffun Pte Ltd,0,۰ تومان,,,,274283694,com.wolffun.thetanimmortal
Sneak & Seek: Fun Stealth Game,https://cafebazaar.ir/app/com.zatg.sneak.seek.mysteries,https://s.cafebazaar.ir/images/icons/com.zatg.sneak.seek.mysteries-fef0cdb3-a08b-411e-94db-e126d20202e4_128x128.png,Solve mysteries in House of Secrets,۲.۷,۱۹ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۱۰ مگابایت,بازی‌های انتخاب بازار,اکشن,Z & K Games,0,۰ تومان,,,,115052911,com.zatg.sneak.seek.mysteries
456 Games - Survival Master,https://cafebazaar.ir/app/com.cdt.gsg.blockcraft,https://s.cafebazaar.ir/images/icons/com.cdt.gsg.blockcraft-c6bdad32-3d8c-4bb7-91f0-435d9b63f99f_128x128.png,"Welcome to our game, make the most of your abilities",۰.۱.۲.۶,۲۶ دی ۱۴۰۳,کمتر از ۱۰۰,5,۱,۶۰ مگابایت,بازی‌های انتخاب بازار,اکشن,Great Sport Games,0,۰ تومان,,,,63223243,com.cdt.gsg.blockcraft
Chiron Car Simulator: Real Cit,https://cafebazaar.ir/app/com.PAG.chiron.car.simulator.real.city.driveNdrift.games,https://s.cafebazaar.ir/images/icons/com.PAG.chiron.car.simulator.real.city.driveNdrift.games-585a23c9-a7b8-4026-9487-ab295d3d483a_128x128.png,"*The Legendary Car*Welcome players, into the world of super Chiron Car Simulator: Real City Car Driving Games is a first of its kind, highly customizable, open world driving game. One tap to download and you'll be driving this awesome car at super ...",۱.۰,۱۰ دی ۱۴۰۳,۵،۰۰۰+,1.8,۵,۳۳ مگابایت,بازی‌های انتخاب بازار,اکشن,Polygon Action Games,0,۰ تومان,,,,34890383,com.PAG.chiron.car.simulator.real.city.driveNdrift.games
Junkineering,https://cafebazaar.ir/app/com.Coleplay.Junkineering,https://s.cafebazaar.ir/images/icons/com.Coleplay.Junkineering-698bf60b-9d7c-42e8-aa7b-2262581ad8a1_128x128.png,"""Do you like action RPG games?Embark on Junkineering, a turn-based RPG where you craft a robot squad from everyday junk, brought to life by an AI-core brain.Use a strategic mind, team up, and take risks to win multiplayer PvE battles!- SPACE WORLD: ...",۱.۰.۲,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۴۴ مگابایت,بازی‌های انتخاب بازار,اکشن,Coleplay LTD,0,۰ تومان,,,,151338691,com.Coleplay.Junkineering
Nihilumbra,https://cafebazaar.ir/app/com.BeautiFunGames.Nihilumbra,https://s.cafebazaar.ir/images/icons/com.BeautiFunGames.Nihilumbra-e168819d-21bd-42b1-b49b-ff78938059e5_128x128.png,Discover the beautiful world of Nihilumbra and join Born on his adventure to find himself whilst trying to escape from his inevitable curse. Born was created from the absolute nothingness: The Void. But somehow he separates himself from the black ...,۴,۱۰ دی ۱۴۰۳,کمتر از ۱۰۰,5,۱,۲۸۹ مگابایت,بازی‌های انتخاب بازار,اکشن,BeautiFun Games,0,۰ تومان,,,,303164674,com.BeautiFunGames.Nihilumbra
Soul Knight,https://cafebazaar.ir/app/com.ChillyRoom.DungeonShooter,https://s.cafebazaar.ir/images/icons/com.ChillyRoom.DungeonShooter-711dc495-3ac8-45e7-a4d2-c2338e6c09ef_128x128.png,"Fast-paced pixel dungeon RPG, play solo or with friends in multiplayer!",۷.۰.۰,۲۷ دی ۱۴۰۳,۱۰۰،۰۰۰+,4.8,۱،۱۳۱,۴۸۴ مگابایت,بازی‌های انتخاب بازار,اکشن,ChillyRoom,0,۰ تومان,,,,507716813,com.ChillyRoom.DungeonShooter
Horror LadyBug Granny,https://cafebazaar.ir/app/com.VidStudioTDM.ladygamehororr,https://s.cafebazaar.ir/images/icons/com.VidStudioTDM.ladygamehororr-724b14bc-cf35-479d-ba4a-c8a43641e747_128x128.png,"🚀 Horror LadyBug Granny: The Ultimate Scary AdventureEmbark on a heart-pounding journey with ""Horror LadyBug Granny,"" the game that pushes the boundaries of fear! Face unexpected twists as Scary LadyBug Granny takes you on a chilling ride, ...",۱,۹ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۱۹ مگابایت,بازی‌های انتخاب بازار,اکشن,VidStudioTDM,0,۰ تومان,,,,125222190,com.VidStudioTDM.ladygamehororr
Sandbox FPS Meme Mods,https://cafebazaar.ir/app/com.sandbox.fps.meme2025,https://s.cafebazaar.ir/images/icons/com.sandbox.fps.meme2025-58cd855b-ceb0-4436-b1d6-940931c69885_128x128.png,"HOW TO PLAY- Choose your favorite map: Survival, Hunt and 3 Sandbox maps- In Survival, shoot all the meme mods and survive every wave. Run to collect ammo, new weapons and health- In Hunt, chase all the meme mods, chase more than other players to ...",۱.۳,۹ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۱۵۵ مگابایت,بازی‌های انتخاب بازار,اکشن,Zeze Game,0,۰ تومان,,,,163011174,com.sandbox.fps.meme2025
Rescue Agent,https://cafebazaar.ir/app/com.game.rescueagent,https://s.cafebazaar.ir/images/icons/com.game.rescueagent-2d895b4f-99a7-4e8a-8f1d-5fe0e43d77fb_128x128.png,Shoot & Hunt,۱.۳.۶,۲۲ دی ۱۴۰۳,۲،۰۰۰+,4,۱,۱۶۷ مگابایت,بازی‌های انتخاب بازار,اکشن,TapNation,0,۰ تومان,,,,174863567,com.game.rescueagent
US City Police Car Chase 3D,https://cafebazaar.ir/app/com.us.city.police.car,https://s.cafebazaar.ir/images/icons/com.us.city.police.car-892a6a1d-76f3-4eb4-953b-ca351c3e6966_128x128.png,Welcome to the US Police Car Chase 3D and enjoy the Police Car Driving Game.,۱.۹,۲۰ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۹۳ مگابایت,بازی‌های انتخاب بازار,اکشن,PlayGamer,0,۰ تومان,,,,97244448,com.us.city.police.car
Not A Jump Obby Game,https://cafebazaar.ir/app/com.not.jump.up.game2025,https://s.cafebazaar.ir/images/icons/com.not.jump.up.game2025-b6d9826b-9482-4cd1-b8e4-1e0084bdde80_128x128.png,We take away your jump button. Figure the rest out.,۱.۰.۱,۱۸ دی ۱۴۰۳,کمتر از ۱۰۰,0,۰,۸۸ مگابایت,بازی‌های انتخاب بازار,اکشن,W & E Studio,0,۰ تومان,,,,92034121,com.not.jump.up.game2025
